Scan,Row,Col,VRefN,PPReg,rawIadj,Mean,Delta
R19-C30,19,30,37.5,152,152,41,3.5
R17-C35,17,35,39.48,174,174,41,1.52
R103-C18,103,18,39.5,156,156,41,1.5
R2-C32,2,32,40.54,152,152,41,0.46
R69-C16,69,16,39.57,173,173,41,1.43
R99-C13,99,13,38.14,154,154,41,2.86
R102-C19,102,19,38.74,173,173,41,2.26
R34-C27,34,27,39.5,152,152,41,1.5
R42-C28,42,28,40.62,174,174,41,0.38
R88-C21,88,21,38.5,173,173,41,2.5
R17-C29,17,29,38.78,173,173,41,2.22
R72-C13,72,13,40.5,156,156,41,0.5
R28-C33,28,33,39.5,152,152,41,1.5
R26-C32,26,32,40.95,174,174,41,0.05
R100-C9,100,9,40.47,175,175,41,0.53
R94-C9,94,9,39.55,174,174,41,1.45
R58-C27,58,27,40.5,152,152,41,0.5
R105-C16,105,16,38.5,156,156,41,2.5
R40-C30,40,30,40.5,174,174,41,0.5
R93-C16,93,16,39.52,173,173,41,1.48
R57-C25,57,25,40.5,152,152,41,0.5
R17-C32,17,32,40.5,174,174,41,0.5
R15-C28,15,28,40.5,174,174,41,0.5
R109-C12,109,12,37.53,175,175,41,3.47
R2-C35,2,35,40.5,174,174,41,0.5
R88-C18,88,18,39.5,173,173,41,1.5
R84-C10,84,10,39.27,171,171,41,1.73
R50-C20,50,20,40.5,152,152,41,0.5
R16-C36,16,36,39.42,156,156,41,1.58
R61-C24,61,24,38.67,156,156,41,2.33
R42-C31,42,31,40.5,152,152,41,0.5
R7-C30,7,30,40.5,174,174,41,0.5
R86-C14,86,14,40.5,156,156,41,0.5
R77-C23,77,23,40.5,152,152,41,0.5
R16-C27,16,27,39.5,173,173,41,1.5
R79-C12,79,12,40.5,156,156,41,0.5
R30-C22,30,22,40.5,152,152,41,0.5
R78-C16,78,16,38.5,171,171,41,2.5
R85-C12,85,12,40.5,171,171,41,0.5
R13-C27,13,27,40.51,169,169,41,0.49
R84-C19,84,19,38.5,173,173,41,2.5
R54-C16,54,16,40.15,156,156,41,0.85
R101-C11,101,11,39.09,156,156,41,1.91
R95-C14,95,14,38.67,156,156,41,2.33
R118-C12,118,12,38.5,154,154,41,2.5
R22-C33,22,33,39.5,174,174,41,1.5
R40-C27,40,27,40.5,152,152,41,0.5
R80-C14,80,14,38.56,156,156,41,2.44
R47-C29,47,29,40.5,173,173,41,0.5
R5-C38,5,38,39.71,174,174,41,1.29
R92-C8,92,8,40.22,175,175,41,0.78
R76-C12,76,12,38.5,171,171,41,2.5
R58-C21,58,21,39.5,173,173,41,1.5
R31-C30,31,30,39.5,152,152,41,1.5
R60-C19,60,19,40.93,169,169,41,0.07
R14-C26,14,26,40.5,174,174,41,0.5
R43-C27,43,27,40.5,173,173,41,0.5
R11-C32,11,32,40.34,174,174,41,0.66
R19-C33,19,33,39.5,174,174,41,1.5
R61-C15,61,15,39.87,171,171,41,1.13
R70-C18,70,18,39.5,173,173,41,1.5
R89-C17,89,17,39.19,173,173,41,1.81
R40-C21,40,21,39.5,156,156,41,1.5
R68-C23,68,23,39.58,173,173,41,1.42
R37-C21,37,21,40.5,152,152,41,0.5
R53-C17,53,17,40.49,152,152,41,0.51
R34-C30,34,30,40.5,174,174,41,0.5
R28-C24,28,24,40.5,169,169,41,0.5
R74-C17,74,17,40.96,174,174,41,0.04
R75-C13,75,13,40.5,156,156,41,0.5
R64-C18,64,18,40.5,173,173,41,0.5
R88-C9,88,9,40.5,156,156,41,0.5
R18-C31,18,31,40.84,169,169,41,0.16
R22-C30,22,30,40.51,169,169,41,0.49
R29-C23,29,23,39.5,156,156,41,1.5
R3-C34,3,34,40.5,174,174,41,0.5
R35-C20,35,20,40.5,156,156,41,0.5
R63-C25,63,25,39.54,152,152,41,1.46
R105-C13,105,13,38.52,171,171,41,2.48
R61-C18,61,18,40.5,152,152,41,0.5
R54-C22,54,22,39.5,173,173,41,1.5
R1-C27,1,27,40.5,152,152,41,0.5
R98-C17,98,17,38.79,156,156,41,2.21
R41-C29,41,29,40.5,152,152,41,0.5
R66-C25,66,25,40.5,174,174,41,0.5
R44-C29,44,29,40.5,152,152,41,0.5
R49-C24,49,24,39.5,174,174,41,1.5
R6-C31,6,31,39.5,152,152,41,1.5
R86-C11,86,11,36.5,154,154,41,4.5
R26-C26,26,26,40.24,169,169,41,0.76
R18-C25,18,25,40.5,174,174,41,0.5
R36-C31,36,31,40.8,169,169,41,0.2
R45-C28,45,28,40.5,174,174,41,0.5
R10-C36,10,36,40.5,152,152,41,0.5
R9-C28,9,28,39.52,169,169,41,1.48
R49-C21,49,21,40.5,169,169,41,0.5
R61-C21,61,21,40.5,156,156,41,0.5
R73-C15,73,15,40.31,156,156,41,0.69
R95-C17,95,17,38.5,156,156,41,2.5
R77-C11,77,11,40.5,173,173,41,0.5
R102-C10,102,10,39.29,173,173,41,1.71
R87-C19,87,19,40.36,173,173,41,0.64
R95-C11,95,11,40.5,171,171,41,0.5
R4-C39,4,39,40.5,174,174,41,0.5
R18-C28,18,28,38.5,173,173,41,2.5
R73-C24,73,24,40.5,169,169,41,0.5
R112-C15,112,15,39.5,156,156,41,1.5
R90-C10,90,10,38.5,154,154,41,2.5
R92-C11,92,11,39.5,156,156,41,1.5
R27-C34,27,34,40.5,174,174,41,0.5
R76-C18,76,18,38.5,173,173,41,2.5
R85-C15,85,15,39.5,156,156,41,1.5
R67-C21,67,21,38.51,173,173,41,2.49
R10-C27,10,27,40.5,152,152,41,0.5
R27-C28,27,28,38.65,173,173,41,2.35
R98-C11,98,11,37.81,171,171,41,3.19
R64-C15,64,15,40.15,173,173,41,0.85
R73-C18,73,18,40.96,152,152,41,0.04
R89-C11,89,11,38.5,171,171,41,2.5
R55-C27,55,27,40.5,169,169,41,0.5
R7-C33,7,33,38.5,156,156,41,2.5
R88-C15,88,15,40.53,152,152,41,0.47
R29-C32,29,32,40.5,169,169,41,0.5
R100-C12,100,12,40.68,171,171,41,0.32
R9-C34,9,34,40.5,169,169,41,0.5
R14-C32,14,32,40.5,174,174,41,0.5
R62-C20,62,20,39.5,173,173,41,1.5
R30-C28,30,28,39.51,174,174,41,1.49
R68-C17,68,17,40.5,173,173,41,0.5
R20-C32,20,32,40.48,174,174,41,0.52
R103-C15,103,15,37.55,171,171,41,3.45
R12-C25,12,25,40.5,174,174,41,0.5
R97-C12,97,12,38.5,171,171,41,2.5
R4-C36,4,36,37.5,156,156,41,3.5
R33-C25,33,25,40.5,169,169,41,0.5
R115-C12,115,12,40.5,156,156,41,0.5
R65-C17,65,17,38.5,156,156,41,2.5
R95-C8,95,8,38.55,154,154,41,2.45
R81-C22,81,22,40.5,169,169,41,0.5
R4-C27,4,27,40.55,152,152,41,0.45
R54-C28,54,28,39.5,174,174,41,1.5
R104-C14,104,14,40.36,156,156,41,0.64
R53-C23,53,23,40.85,152,152,41,0.15
R3-C28,3,28,39.59,152,152,41,1.41
R83-C17,83,17,40.54,173,173,41,0.46
R76-C15,76,15,40.59,173,173,41,0.41
R64-C21,64,21,38.5,173,173,41,2.5
R49-C18,49,18,39.5,173,173,41,1.5
R25-C24,25,24,40.86,152,152,41,0.14
R83-C14,83,14,39.5,173,173,41,1.5
R74-C20,74,20,39.5,156,156,41,1.5
R15-C31,15,31,39.55,174,174,41,1.45
R18-C34,18,34,39.5,152,152,41,1.5
R106-C12,106,12,39.47,175,175,41,1.53
R12-C37,12,37,40.5,169,169,41,0.5
R89-C14,89,14,37.55,173,173,41,3.45
R23-C23,23,23,39.64,152,152,41,1.36
R28-C21,28,21,40.5,173,173,41,0.5
R24-C34,24,34,40.59,169,169,41,0.41
R28-C27,28,27,38.5,156,156,41,2.5
R45-C19,45,19,40.5,152,152,41,0.5
R43-C24,43,24,39.5,173,173,41,1.5
R39-C28,39,28,40.5,169,169,41,0.5
R99-C16,99,16,39.68,156,156,41,1.32
R51-C28,51,28,39.47,173,173,41,1.53
R12-C31,12,31,39.5,169,169,41,1.5
R50-C17,50,17,40.5,173,173,41,0.5
R85-C18,85,18,37.44,171,171,41,3.56
R92-C14,92,14,40.5,156,156,41,0.5
R11-C35,11,35,39.5,174,174,41,1.5
R55-C21,55,21,39.5,173,173,41,1.5
R2-C29,2,29,38.5,156,156,41,2.5
R37-C24,37,24,40.5,173,173,41,0.5
R91-C12,91,12,38.5,171,171,41,2.5
R65-C14,65,14,39.5,173,173,41,1.5
R33-C31,33,31,40.5,152,152,41,0.5
R68-C26,68,26,40.41,169,169,41,0.59
R93-C13,93,13,40.5,156,156,41,0.5
R59-C26,59,26,40.5,152,152,41,0.5
